issue_id,dossier,procedure,n_actors,outcome,reference_point,challenge_forecast,compromise_forecast,challenge_ae,compromise_ae,paired_diff_challenge_minus_compromise,winner
d00032i1,documents,COD,17,100.0,0.0,40.0,52.906,60.0,47.094,12.906,compromise
d00032i2,documents,COD,17,0.0,,50.0,53.232,50.0,53.232,-3.232,challenge
d00032i3,documents,COD,17,100.0,100.0,100.0,85.47,0.0,14.53,-14.53,challenge
d00032i4,documents,COD,17,50.0,0.0,100.0,75.758,50.0,25.758,24.242,compromise
d00060i1,buses,COD,16,50.0,,50.0,73.684,0.0,23.684,-23.684,challenge
d00060i2,buses,COD,17,0.0,0.0,0.0,20.609,0.0,20.609,-20.609,challenge
d00062i1,landmines,COD,11,90.0,,100.0,77.586,10.0,12.414,-2.414,challenge
d00062i2,landmines,COD,7,60.0,,88.982,56.25,28.982,3.75,25.232,compromise
d00062i3,landmines,COD,17,95.0,,100.0,93.075,5.0,1.925,3.075,compromise
d00067i1,tankers,COD,15,50.0,0.0,100.0,77.532,50.0,27.532,22.468,compromise
d00067i2,tankers,COD,14,100.0,0.0,0.0,35.68,100.0,64.32,35.68,compromise
d00184i1,comnet,COD,17,100.0,,60.0,51.562,40.0,48.438,-8.438,challenge
d00184i2,comnet,COD,17,30.0,,30.0,34.914,0.0,4.914,-4.914,challenge
d00184i3,comnet,COD,17,0.0,,0.0,23.122,0.0,23.122,-23.122,challenge
d95341i1,takeovers,COD,17,0.0,0.0,5.989,34.935,5.989,34.935,-28.946,challenge
d95341i3,takeovers,COD,9,0.0,0.0,75.0,47.722,75.0,47.722,27.278,compromise
d95341i4,takeovers,COD,17,0.0,0.0,50.0,72.894,50.0,72.894,-22.894,challenge
d96085i1,resale,COD,16,45.0,0.0,82.0,68.734,37.0,23.734,13.266,compromise
d96085i2,resale,COD,16,64.0,0.0,100.0,79.777,36.0,15.777,20.223,compromise
d96085i3,resale,COD,15,32.0,0.0,100.0,68.621,68.0,36.621,31.379,compromise
d96085i4,resale,COD,17,41.0,0.0,100.0,73.262,59.0,32.262,26.738,compromise
d96112i1,choco,COD,17,50.0,100.0,21.087,52.66,28.913,2.66,26.253,compromise
d96112i2,choco,COD,17,60.0,0.0,100.0,55.78,40.0,4.22,35.78,compromise
d96112i3,choco,COD,17,0.0,0.0,66.426,45.926,66.426,45.926,20.5,compromise
d96112i4,choco,COD,17,100.0,,0.0,47.028,100.0,52.972,47.028,compromise
d96161i1,guarantees,COD,17,50.0,,83.076,68.334,33.076,18.334,14.742,compromise
d96161i2,guarantees,COD,17,50.0,50.0,0.0,28.284,50.0,21.716,28.284,compromise
d97264i1,autoinsure,COD,17,78.0,0.0,44.0,50.28,34.0,27.72,6.28,compromise
d97359i1,copyright,COD,17,80.0,0.0,100.0,82.742,20.0,2.742,17.258,compromise
d97359i2,copyright,COD,16,25.0,0.0,30.551,52.733,5.551,27.733,-22.182,challenge
d97359i3,copyright,COD,17,33.0,0.0,53.067,40.785,20.067,7.785,12.281,compromise
d98134i1,cuscode,COD,17,100.0,100.0,100.0,69.187,0.0,30.813,-30.813,challenge
d98134i2,cuscode,COD,14,0.0,100.0,25.0,40.312,25.0,40.312,-15.312,challenge
d98134i3,cuscode,COD,16,0.0,0.0,75.0,50.322,75.0,50.322,24.678,compromise
d98134i4,cuscode,COD,17,50.0,0.0,100.0,77.113,50.0,27.113,22.887,compromise
d98191i1,esign,COD,17,60.0,70.0,35.0,61.693,25.0,1.693,23.307,compromise
d98191i2,esign,COD,17,50.0,70.0,80.0,66.501,30.0,16.501,13.499,compromise
d98191i3,esign,COD,16,20.0,10.0,15.0,19.57,5.0,0.43,4.57,compromise
d98195i1,socrates,COD,17,75.0,0.0,80.0,74.251,5.0,0.749,4.251,compromise
d98195i2,socrates,COD,17,100.0,0.0,3.063,25.641,96.937,74.359,22.578,compromise
d98195i3,socrates,COD,17,0.0,0.0,100.0,66.884,100.0,66.884,33.116,compromise
d98240i1,orphanmed,COD,17,100.0,0.0,100.0,85.929,0.0,14.071,-14.071,challenge
d98252i1,emoney,COD,16,60.0,0.0,75.0,58.808,15.0,1.192,13.808,compromise
d98252i2,emoney,COD,16,33.0,0.0,75.0,65.122,42.0,32.122,9.878,compromise
d98300i1,Turkey,COD,17,100.0,0.0,100.0,95.327,0.0,4.673,-4.673,challenge
d98300i2,Turkey,COD,17,100.0,,1.443,20.681,98.557,79.319,19.238,compromise
d98300i3,Turkey,COD,17,100.0,,100.0,81.308,0.0,18.692,-18.692,challenge
d98323i1,BSE,COD,17,100.0,,46.678,67.423,53.322,32.577,20.745,compromise
d98323i2,BSE,COD,17,93.0,0.0,33.0,54.074,60.0,38.926,21.074,compromise
d98323i3,BSE,COD,17,70.0,0.0,50.0,46.24,20.0,23.76,-3.76,challenge
d98325i1,ecommerce,COD,17,10.0,100.0,0.0,44.444,10.0,34.444,-24.444,challenge
d98325i2,ecommerce,COD,11,75.0,0.0,41.778,40.816,33.222,34.184,-0.961,challenge
d98325i3,ecommerce,COD,16,13.0,100.0,55.16,47.526,42.16,34.526,7.634,compromise
d99083i1,dangoods,COD,16,70.0,0.0,60.0,61.197,10.0,8.803,1.197,compromise
d99127i1,ballasts,COD,16,47.0,0.0,47.0,63.156,0.0,16.156,-16.156,challenge
d99127i2,ballasts,COD,17,30.0,0.0,0.0,18.616,30.0,11.384,18.616,compromise
d99158i1,foodads,COD,17,0.0,100.0,0.0,50.0,0.0,50.0,-50.0,challenge
d99204i1,beeflabels,COD,17,86.0,0.0,81.0,80.112,5.0,5.888,-0.888,challenge
d99204i2,beeflabels,COD,17,76.0,0.0,52.0,70.831,24.0,5.169,18.831,compromise
d99204i3,beeflabels,COD,17,20.0,0.0,60.0,68.023,40.0,48.023,-8.023,challenge
d99204i4,beeflabels,COD,17,60.0,0.0,80.0,65.51,20.0,5.51,14.49,compromise
d99217i1,beeftrade,COD,14,0.0,100.0,0.0,6.987,0.0,6.987,-6.987,challenge
d99238i1,toys,COD,17,40.0,0.0,75.0,52.779,35.0,12.779,22.221,compromise
d99238i2,toys,COD,12,67.0,0.0,67.0,56.056,0.0,10.944,-10.944,challenge
d99238i3,toys,COD,17,10.0,,82.453,58.498,72.453,48.498,23.955,compromise
d99244i1,tobacco,COD,17,90.0,0.0,100.0,70.221,10.0,19.779,-9.779,challenge
d99244i2,tobacco,COD,17,95.0,0.0,50.0,48.059,45.0,46.941,-1.941,challenge
d99244i3,tobacco,COD,17,65.0,0.0,60.0,67.322,5.0,2.322,2.678,compromise
d99244i4,tobacco,COD,15,50.0,0.0,33.747,48.768,16.253,1.232,15.021,compromise
d99244i5,tobacco,COD,17,95.0,0.0,100.0,70.288,5.0,24.712,-19.712,challenge
d99252i1,rail,COD,13,80.0,0.0,90.0,79.444,10.0,0.556,9.444,compromise
d99252i2,rail,COD,17,90.0,0.0,80.0,82.697,10.0,7.303,2.697,compromise
d99252i3,rail,COD,13,87.0,0.0,70.0,77.426,17.0,9.574,7.426,compromise
d99275i1,MEDIA,COD,17,50.0,0.0,100.0,81.061,50.0,31.061,18.939,compromise
n00030i1,visas,CNS,16,0.0,0.0,0.25,27.778,0.25,27.778,-27.528,challenge
n00030i2,visas,CNS,17,0.0,,0.0,21.488,0.0,21.488,-21.488,challenge
n00030i3,visas,CNS,17,0.0,,0.0,17.391,0.0,17.391,-17.391,challenge
n00030i4,visas,CNS,17,100.0,,47.731,23.772,52.269,76.228,-23.959,challenge
n00030i5,visas,CNS,17,0.0,,0.0,12.654,0.0,12.654,-12.654,challenge
n00030i6,visas,CNS,17,10.0,,0.0,47.054,10.0,37.054,-27.054,challenge
n00127i1,massinflux,CNS,17,100.0,,100.0,86.296,0.0,13.704,-13.704,challenge
n00127i2,massinflux,CNS,16,60.0,,40.0,44.169,20.0,15.831,4.169,compromise
n00127i3,massinflux,CNS,15,0.0,0.0,100.0,52.964,100.0,52.964,47.036,compromise
n00223i1,vat,CNS,17,100.0,0.0,100.0,97.61,0.0,2.39,-2.39,challenge
n00223i2,vat,CNS,17,100.0,,100.0,87.915,0.0,12.085,-12.085,challenge
n00250i1,CMOsugar,CNS,17,50.0,0.0,100.0,57.684,50.0,7.684,42.316,compromise
n00250i2,CMOsugar,CNS,17,0.0,0.0,100.0,89.264,100.0,89.264,10.736,compromise
n00250i3,CMOsugar,CNS,17,0.0,0.0,100.0,88.131,100.0,88.131,11.869,compromise
n00358i1,oliveoil,CNS,16,33.0,0.0,43.171,46.3,10.171,13.3,-3.129,challenge
n00358i2,oliveoil,CNS,17,30.0,0.0,100.0,75.295,70.0,45.295,24.705,compromise
n00358i3,oliveoil,CNS,8,0.0,0.0,60.0,49.356,60.0,49.356,10.644,compromise
n00358i4,oliveoil,CNS,17,0.0,0.0,0.0,11.111,0.0,11.111,-11.111,challenge
n00358i5,oliveoil,CNS,7,0.0,0.0,70.0,54.111,70.0,54.111,15.889,compromise
n0062Bi1,landmines,CNS,17,100.0,100.0,100.0,93.075,0.0,6.925,-6.925,challenge
n96114i1,honey,CNS,16,60.0,0.0,60.0,46.143,0.0,13.857,-13.857,challenge
n96114i2,honey,CNS,16,80.0,0.0,100.0,76.692,20.0,3.308,16.692,compromise
n96114i3,honey,CNS,15,0.0,0.0,100.0,57.692,100.0,57.692,42.308,compromise
n96115i1,juices,CNS,15,70.0,0.0,21.716,37.522,48.284,32.478,15.806,compromise
n96115i2,juices,CNS,5,50.0,100.0,0.0,18.142,50.0,31.858,18.142,compromise
n96160i1,fishcons,CNS,13,45.0,0.0,45.0,36.769,0.0,8.231,-8.231,challenge
n98087i1,taxcompani,CNS,5,0.0,0.0,20.0,27.926,20.0,27.926,-7.926,challenge
n98087i2,taxcompani,CNS,16,100.0,0.0,100.0,58.931,0.0,41.069,-41.069,challenge
n98092i1,hens,CNS,16,100.0,0.0,50.0,42.962,50.0,57.038,-7.038,challenge
n98092i2,hens,CNS,17,34.0,,67.0,45.233,33.0,11.233,21.767,compromise
n98092i3,hens,CNS,16,20.0,,34.135,24.775,14.135,4.775,9.36,compromise
n98092i4,hens,CNS,17,100.0,,98.056,40.102,1.944,59.898,-57.954,challenge
n98092i5,hens,CNS,16,80.0,0.0,0.0,41.127,80.0,38.873,41.127,compromise
n98092i6,hens,CNS,17,60.0,,100.0,75.661,40.0,15.661,24.339,compromise
n98109i1,CMObeef,CNS,17,50.0,100.0,50.0,50.492,0.0,0.492,-0.492,challenge
n98109i2,CMObeef,CNS,17,50.0,,58.555,58.194,8.555,8.194,0.361,compromise
n98110i1,CMOmilk,CNS,16,80.0,100.0,70.0,59.038,10.0,20.962,-10.962,challenge
n98110i2,CMOmilk,CNS,16,35.0,100.0,60.0,53.016,25.0,18.016,6.984,compromise
n98189i1,cigtax,CNS,15,50.0,0.0,75.0,66.784,25.0,16.784,8.216,compromise
n98193i1,savingstax,CNS,17,100.0,0.0,100.0,89.429,0.0,10.571,-10.571,challenge
n98193i2,savingstax,CNS,17,85.0,0.0,46.0,56.915,39.0,28.085,10.915,compromise
n98193i3,savingstax,CNS,7,0.0,,100.0,76.236,100.0,76.236,23.764,compromise
n98288i1,Art8586,CNS,16,50.0,,50.0,52.258,0.0,2.258,-2.258,challenge
n98288i2,Art8586,CNS,16,30.0,0.0,0.0,17.094,30.0,12.906,17.094,compromise
n98288i3,Art8586,CNS,16,50.0,,50.0,67.619,0.0,17.619,-17.619,challenge
n98299i1,ECTurkey,CNS,17,100.0,0.0,100.0,95.327,0.0,4.673,-4.673,challenge
n98299i2,ECTurkey,CNS,17,0.0,,1.443,20.681,1.443,20.681,-19.238,challenge
n98331i1,VAT,CNS,17,100.0,0.0,100.0,97.61,0.0,2.39,-2.39,challenge
n98331i2,VAT,CNS,17,0.0,0.0,0.0,17.544,0.0,17.544,-17.544,challenge
n98347i1,fishassist,CNS,15,100.0,100.0,100.0,77.002,0.0,22.998,-22.998,challenge
n98347i2,fishassist,CNS,16,30.0,100.0,50.0,43.895,20.0,13.895,6.105,compromise
n98354i1,civilprote,CNS,17,0.0,,77.027,52.029,77.027,52.029,24.999,compromise
n98354i2,civilprote,CNS,17,70.0,,70.0,65.298,0.0,4.702,-4.702,challenge
n99047i1,CMOfish,CNS,13,90.0,0.0,70.0,60.777,20.0,29.223,-9.223,challenge
n99047i2,CMOfish,CNS,13,40.0,90.0,40.0,50.844,0.0,10.844,-10.844,challenge
n99047i3,CMOfish,CNS,13,40.0,100.0,25.0,41.189,15.0,1.189,13.811,compromise
n99050i1,fishbehave,CNS,15,30.0,0.0,20.0,31.594,10.0,1.594,8.406,compromise
n99056i1,VATlab,CNS,17,40.0,100.0,40.0,34.766,0.0,5.234,-5.234,challenge
n99072i1,vetprod,CNS,17,89.0,0.0,67.0,72.14,22.0,16.86,5.14,compromise
n99072i2,vetprod,CNS,15,50.0,50.0,0.0,13.534,50.0,36.466,13.534,compromise
n99072i3,vetprod,CNS,15,50.0,50.0,0.0,34.286,50.0,15.714,34.286,compromise
n99092i1,forest,CNS,17,0.0,0.0,0.0,6.818,0.0,6.818,-6.818,challenge
n99092i2,forest,CNS,8,50.0,0.0,100.0,65.665,50.0,15.665,34.335,compromise
n99092i3,forest,CNS,17,100.0,0.0,49.591,36.559,50.409,63.441,-13.032,challenge
n99116i1,Eurodac,CNS,11,10.0,100.0,20.0,57.988,10.0,47.988,-37.988,challenge
n99132i1,FYRM,CNS,17,80.0,,100.0,90.741,20.0,10.741,9.259,compromise
n99138i1,fishcontro,CNS,15,80.0,0.0,27.307,31.064,52.693,48.936,3.757,compromise
n99138i2,fishcontro,CNS,13,40.0,,50.0,48.05,10.0,8.05,1.95,compromise
n99151i1,budget,CNS,17,50.0,70.0,70.0,53.144,20.0,3.144,16.856,compromise
n99154i1,civiljudge,CNS,17,73.0,73.0,73.0,63.735,0.0,9.265,-9.265,challenge
n99154i2,civiljudge,CNS,16,50.0,50.0,50.0,56.437,0.0,6.437,-6.437,challenge
n99163i1,fishdialog,CNS,17,100.0,35.0,75.0,65.395,25.0,34.605,-9.605,challenge
n99163i2,fishdialog,CNS,17,50.0,50.0,34.405,35.695,15.595,14.305,1.29,compromise
n99192i1,employctte,CNS,15,88.0,0.0,83.0,83.998,5.0,4.002,0.998,compromise
n99192i2,employctte,CNS,15,70.0,0.0,78.0,80.546,8.0,10.546,-2.546,challenge
n99202i1,cotton,CNS,17,70.0,100.0,80.0,69.603,10.0,0.397,9.603,compromise
n99202i2,cotton,CNS,17,50.0,0.0,0.0,17.581,50.0,32.419,17.581,compromise
n99214i1,MEDA,CNS,13,88.0,0.0,38.0,56.477,50.0,31.523,18.477,compromise
n99214i2,MEDA,CNS,14,45.0,30.0,100.0,76.528,55.0,31.528,23.472,compromise
n99225i1,equal,CNS,16,40.0,0.0,40.0,57.343,0.0,17.343,-17.343,challenge
n99225i2,equal,CNS,7,100.0,0.0,55.0,62.642,45.0,37.358,7.642,compromise
n99235i1,bananas,CNS,17,0.0,100.0,100.0,69.897,100.0,69.897,30.103,compromise
n99235i2,bananas,CNS,17,40.0,100.0,75.0,57.159,35.0,17.159,17.841,compromise
n99236i1,flax,CNS,17,35.0,100.0,70.0,47.611,35.0,12.611,22.389,compromise
n99236i2,flax,CNS,8,50.0,100.0,100.0,71.795,50.0,21.795,28.205,compromise
n99246i1,CMOmilk,CNS,16,50.0,100.0,50.0,54.693,0.0,4.693,-4.693,challenge
n99246i2,CMOmilk,CNS,17,67.0,0.0,0.0,23.575,67.0,43.425,23.575,compromise
n99255i1,fishjuv,CNS,17,100.0,0.0,100.0,89.278,0.0,10.722,-10.722,challenge
n99255i2,fishjuv,CNS,3,92.0,0.0,100.0,92.9,8.0,0.9,7.1,compromise
n99274i1,ERF,CNS,17,100.0,,100.0,87.294,0.0,12.706,-12.706,challenge
n99274i2,ERF,CNS,16,20.0,,100.0,43.527,80.0,23.527,56.473,compromise
n99274i3,ERF,CNS,17,0.0,,0.0,13.605,0.0,13.605,-13.605,challenge
n99276i1,MEDIApl,CNS,17,70.0,0.0,70.0,74.362,0.0,4.362,-4.362,challenge
n99276i2,MEDIApl,CNS,17,80.0,,79.613,63.295,0.387,16.705,-16.317,challenge
n99276i3,MEDIApl,CNS,17,50.0,,50.0,55.882,0.0,5.882,-5.882,challenge
n99276i4,MEDIApl,CNS,17,40.0,,50.0,36.123,10.0,3.877,6.123,compromise
n99276i5,MEDIApl,CNS,17,42.0,,42.0,44.051,0.0,2.051,-2.051,challenge
d04167i1,ERDF,COD,27,100.0,0.0,59.928,40.15,40.072,59.85,-19.779,challenge
d04167i2,ERDF,COD,27,40.0,0.0,0.0,31.784,40.0,8.216,31.784,compromise
d04167i3,ERDF,COD,22,35.0,0.0,100.0,51.004,65.0,16.004,48.996,compromise
d04167i4,ERDF,COD,27,20.0,0.0,0.0,25.566,20.0,5.566,14.434,compromise
d04209i1,worktime,COD,27,0.0,0.0,80.0,55.74,80.0,55.74,24.26,compromise
d04209i2,worktime,COD,24,0.0,0.0,100.0,61.702,100.0,61.702,38.298,compromise
d04209i3,worktime,COD,27,0.0,0.0,0.0,8.644,0.0,8.644,-8.644,challenge
d04218i1,LIFE,COD,24,25.0,100.0,41.005,54.737,16.005,29.737,-13.732,challenge
d04218i2,LIFE,COD,25,75.0,0.0,100.0,75.711,25.0,0.711,24.289,compromise
d04218i3,LIFE,COD,21,40.0,0.0,100.0,69.352,60.0,29.352,30.648,compromise
d04219i1,ENPI,COD,26,75.0,,83.135,65.452,8.135,9.548,-1.413,challenge
d04219i2,ENPI,COD,15,30.0,,0.0,23.201,30.0,6.799,23.201,compromise
d04219i3,ENPI,COD,26,25.0,,11.341,27.589,13.659,2.589,11.07,compromise
d04240i1,ports,COD,15,0.0,0.0,0.0,28.113,0.0,28.113,-28.113,challenge
d05007i1,redmob,COD,16,67.0,0.0,100.0,69.864,33.0,2.864,30.136,compromise
d05028i1,spirits,COD,23,20.0,0.0,32.87,37.101,12.87,17.101,-4.231,challenge
d05028i2,spirits,COD,27,70.0,0.0,80.0,78.158,10.0,8.158,1.842,compromise
d05182i1,dataret,COD,27,100.0,0.0,100.0,87.946,0.0,12.054,-12.054,challenge
d05182i2,dataret,COD,27,0.0,0.0,0.0,18.564,0.0,18.564,-18.564,challenge
d05182i3,dataret,COD,27,90.0,0.0,90.0,88.455,0.0,1.545,-1.545,challenge
d05182i4,dataret,COD,27,75.0,0.0,50.0,57.904,25.0,17.096,7.904,compromise
d05182i5,dataret,COD,27,20.0,0.0,0.0,12.979,20.0,7.021,12.979,compromise
d05183i1,air,COD,17,25.0,100.0,25.0,38.292,0.0,13.292,-13.292,challenge
